N°,Tipo de Imagem de treino,Presença de Artefato,Tamanho da Imagem,Tipo de Redimensionamento,Treinamento,Teste,Máscara,Espaço da Espiral,Modo da Espiral,Intervalo inicial da máscara Treino,Intervalo da máscara Treino,Intervalo inicial da máscara Teste,Intervalo da máscara Teste,Batch Size,N° Steps ,Buffer Size,Número de imagens para calcular métricas,SSIM input(%),SNR input,SSIM predicted(%),SNR predicted,SSIM In SD,SNR In SD,SSIM Pr SD,SNR Pr SD,Observações,Erro,SSIM Real,SSIM Imaginária,SNR Real,SNR Imaginária,RSSIM,Teste,Ordem Teste,RSNR,Relação
75,Imagem Final,Não,512x512,Completar com zero,1500,100,Spiral4,-,-,-,16,16,-,1,500,1000,10,"0,28","2,92","0,58","5,55","0,06","1,63","0,08","2,05",dropout adicionado ao discriminador,,,,,,"2,096",,,"1,900","1,212"
76,Imagem Final,Não,512x512,Completar com zero,3000,100,Spiral4,-,-,-,16,16,-,1,3000,1000,100,"0,33","5,15","0,63","11,03",,,,,,,,,,,"1,900",,,"2,144","1,199"
77,Imagem Final,Não,512x512,Completar com zero,3000,100,Spiral4,-,-,-,16,16,-,1,200,1000,100,"0,33","5,15","0,55","2,49",,,,,,,,,,,"1,662",,,"0,483","0,917"
78,Imagem Final,Não,512x512,Completar com zero,3000,100,Spiral4,-,-,-,16,16,-,1,1500,1000,100,"0,33","5,15","0,66","11,53","0,05","1,65","0,05","5,90",adicionado kernel_regularizer ,,,,,,"1,977",,,"2,241","1,299"
79,Imagem Final,Não,512x512,Completar com zero,3000,100,Spiral4,-,-,-,16,16,-,1,3000,3000,100,"0,33","5,15","0,62","11,78","0,05","1,65","0,04","5,77",teve uma otima curva treino/validação x loss,,,,,,"1,877",,,"2,289","1,170"
80,Imagem Final,Não,512x512,Completar com zero,1500,100,Spiral4,-,-,-,16,16,-,1,1500,1500,100,"0,29","4,02","0,63","7,84","0,06","2,15","0,08","3,85",,,,,,,"2,180",,,"1,948","1,373"
81,Imagem Final,Não,512x512,Completar com zero,1500,100,Spiral4,-,-,-,32,32,-,1,1500,1500,100,"0,48","5,74","0,63","7,54",,,,,,,,,,,"1,306",,,"1,313","0,826"
82,Imagem Final,Não,512x512,Completar com zero,1500,100,Spiral4,-,-,-,48,48,-,1,1500,1500,100,"0,74","5,88","0,68","7,13",,,,,,,,,,,"0,922",,,"1,212","0,630"
83,Imagem Final,Não,512x512,Completar com zero,1500,100,Random,-,-,-,50,50,-,1,1500,1500,100,"0,34","1,59","0,40","3,56",,,,,,,,,,,"1,172",,,"2,246","0,472"
84,Imagem Final,Não,512x512,Completar com zero,1500,100,Spiral4,-,-,-,16,16,-,1,1500,1500,100,"0,29","4,02","0,60","7,27",,,,,Equiparação no número de camadas do gerador,,,,,,"2,063",,,"1,807","1,229"
85,Imagem Final,Não,512x512,Completar com zero,1500,100,Spiral4,-,-,-,16,16,-,1,3000,3000,100,"0,33","5,15","0,63","11,01",,,,,,,,,,,"1,909",,,"2,139","1,211"
86,Imagem Final,Não,512x512,Completar com zero,1500,100,Spiral4,-,-,-,16,16,-,1,3000,3000,100,"0,33","5,15","0,62","11,44",,,,,Redução no número de camadas do gerador e do discriminador,,,,,,"1,855",,,"2,222","1,143"
87,Imagem Final,Não,512x512,Completar com zero,1500,100,Spiral4,-,-,-,16,16,-,1,4000,4000,100,"0,32","3,75","0,60","7,12",,,,,,,,,,,"1,893",,,"1,901","1,145"
88,Imagem Final,Não,512x512,Completar com zero,1500,100,HF Vertical,-,-,3,2,3,2,1,1500,1500,100,"0,53","4,74","0,62","7,56",,,,,,,,,,,"1,163",,,"1,595","0,723"
89,Imagem Final,Não,512x512,Completar com zero,1500,100,HF Vertical,-,-,3,2,3,2,1,1500,1500,100,"0,53","4,74","0,63","7,43","0,10","3,13","0,09","5,31",Sem bloco residual / removi o bloco residual,,,,,,"1,184",,,"1,567","0,749"
90,Imagem Final,Não,512x512,Completar com zero,1500,100,Radial,-,-,-,32,32,-,1,1500,1500,100,"0,53","5,38","0,61","6,58",,,,,,,,,,,"1,161",,,"1,224","0,708"
91,Imagem Final,Não,512x512,Completar com zero,1500,100,Radial,-,-,-,32,32,-,1,6000,1500,100,"0,53","5,38","0,61","7,31",,,,,,,,,,,"1,164",,,"1,359","0,712"
92,Imagem Final,Não,512x512,Completar com zero,1500,100,Radial,-,-,-,32,32,-,1,18000,1500,100,"0,53","5,38","0,65","6,97",,,,,,,,,,,"1,243",,,"1,296","0,811"
93,Imagem Final,Não,512x512,Completar com zero,1500,100,Radial,-,-,-,32,32,-,1,18000,1500,100,"0,53","5,38","0,64","6,99",,,,,Redução no numero de camadas,,,,,,"1,214",,,"1,300","0,774"
94,Imagem Final,Não,512x512,Completar com zero,1500,100,Radial,-,-,-,32,32,-,1,18000,1500,100,"0,53","5,38","0,65","7,40","0,11","3,38","0,09","4,98",Redução no numero de filtros,,,,,,"1,246",,,"1,376","0,815"
95,Imagem Final Cérebro,Não,256x256,Completar com zero,1500,100,Spiral4,-,-,-,16,16,-,1,18000,1500,100,"0,53","13,82","0,59","15,76",,,,,,,,,,,"1,118",,,"1,140","0,660"
96,Imagem Final Cérebro,Não,256x256,Completar com zero,1500,100,Spiral4,-,-,-,16,16,-,1,18000,1500,100,"0,53","13,82","0,59","14,03",,,,,Menos camadas,,,,,,"1,125",,,"1,015","0,667"
97,Imagem Final Cérebro,Não,256x256,Completar com zero,1500,100,Spiral4,-,-,-,16,16,-,1,18000,1500,100,"0,53","13,82","0,59","14,23",,,,,,,,,,,"1,122",,,"1,029","0,664"
98,Imagem Final,Não,512x512,Completar com zero,6000,100,Spiral4,-,-,-,16,16,-,1,10000,6000,25,"0,32","3,54","0,57","7,37",,,,,,,,,,,"1,764",,,"2,081","1,007"
99,Imagem Final,Não,512x512,Completar com zero,6000,100,Spiral4,-,-,-,16,16,-,1,10000,6000,30,"0,31","3,84","0,44","6,07",,,,,,,,,,,"1,440",,,"1,582","0,637"
100,Imagem Final,Não,512x512,Completar com zero,1500,100,Spiral4,-,-,-,16,16,-,1,10000,1500,100,"0,30","3,88","0,53","6,84",,,,,,,,,,,"1,761",,,"1,764","0,937"
101,Imagem Final,Não,512x512,Completar com zero,1500,100,Spiral4,-,-,-,16,16,-,1,10000,1500,100,"0,31","4,50","0,46","5,04",,,,,Subtração no discriminador,,,,,,"1,517",,,"1,120","0,704"
102,Imagem Final,Não,512x512,Completar com zero,3000,100,HF Vertical,-,-,8,1,8,1,1,10000,3000,100,"0,56","5,80","0,59","7,48",,,,,,,,,,,"1,063",,,"1,290","0,629"
103,Imagem Final,Não,512x512,Completar com zero,1500,100,Spiral1,-,-,-,64,64,-,1,10000,1500,100,"0,08","2,33","0,38","6,68","0,04","1,30","0,06","3,15",,,,,,,"4,774",,,"2,872","1,816"
104,Imagem Final,Não,512x512,Completar com zero,1500,100,Spiral4,-,-,-,16,16,-,1,6000,1500,100,"0,29","4,40","0,48","4,99","0,03","1,92","0,05","2,97",,,,,,,"1,676",,,"1,134","0,807"
105,Imagem Final,Não,512x512,Completar com zero,1500,100,Spiral4,-,-,-,32,32,-,1,6000,1500,100,"0,51","6,03","0,66","4,84","0,05","2,93","0,07","3,05",,,,,,,"1,296",,,"0,803","0,860"
106,Imagem Final,Não,512x512,Completar com zero,1500,100,Spiral4,-,-,-,32,32,-,1,6000,1500,100,"0,51","6,03","0,73","7,14","0,05","2,93","0,05","4,32","algumas correções feitas no modelo, correção no random crop",,,,,,"1,426",,,"1,184","1,042"
107,Imagem Final,Não,512x512,Completar com zero,1500,100,Spiral4,-,-,-,16,16,-,1,6000,1500,100,"0,29","4,40","0,58","5,65","0,03","1,86","0,04","3,72",,,,,,,"2,022",,,"1,284","1,177"
108,Imagem Final,Não,512x512,Completar com zero,1500,100,Spiral4,-,-,-,48,48,-,1,6000,1500,100,"0,75","6,62","0,75","6,12","0,07","4,28","0,06","4,12",,,,,,,"0,998",,,"0,924","0,750"
109,Imagem Final,Não,512x512,Completar com zero,1500,100,Spiral4,-,-,-,16,16,-,1,10000,1500,100,"0,29","4,40","0,49","5,62","0,03","1,86","0,03","3,39",,,,,,,"1,709",,,"1,277","0,840"
110,Imagem Final,Não,256x256,Crop,1500,100,Spiral4,-,-,-,16,16,-,1,3000,1500,100,"0,65","0,54","0,68","0,61","0,06","1,69","0,08","1,93",,,,,,,"1,053",,,"1,130","0,718"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!
